Hosts,Bytes,PacketsPerSecond
1,64,0.016000
1,128,0.021120
1,256,0.031360
1,512,0.051840
1,768,0.072320
1,1024,0.092800
1,1536,0.133760
1,2048,0.174720
1,3072,0.256640
1,4000,0.330880
2,64,0.016000
2,128,0.024014
2,256,0.044494
2,512,0.085454
2,768,0.126414
2,1024,0.167374
2,1536,0.249294
2,2048,0.331214
2,3072,0.495054
2,4000,0.643534
3,64,0.020827
3,128,0.036325
3,256,0.067124
3,512,0.128722
3,768,0.190391
3,1024,0.252045
3,1536,0.375284
3,2048,0.498547
3,3072,0.745006
3,4000,0.968322
4,64,0.028267
4,128,0.048821
4,256,0.090053
4,512,0.172411
4,768,0.254826
4,1024,0.337355
4,1536,0.502084
4,2048,0.667022
4,3072,0.996118
4,4000,1.294500
5,64,0.035441
5,128,0.061139
5,256,0.112737
5,512,0.216156
5,768,0.319506
5,1024,0.422872
5,1536,0.629347
5,2048,0.835587
5,3072,1.247804
5,4000,1.620986
6,64,0.042475
6,128,0.073365
6,256,0.135748
6,512,0.259963
6,768,0.384398
6,1024,0.508498
6,1536,0.756866
6,2048,1.004986
6,3072,1.499815
6,4000,1.948086
7,64,0.050002
7,128,0.086072
7,256,0.158625
7,512,0.304245
7,768,0.449599
7,1024,0.594798
7,1536,0.884812
7,2048,1.174335
7,3072,1.752200
7,4000,2.275194
8,64,0.057470
8,128,0.098236
8,256,0.181964
8,512,0.348934
8,768,0.515034
8,1024,0.681253
8,1536,1.013310
8,2048,1.344989
8,3072,2.005633
8,4000,2.602939
9,64,0.064705
9,128,0.110857
9,256,0.205647
9,512,0.393320
9,768,0.581376
9,1024,0.768237
9,1536,1.143005
9,2048,1.514897
9,3072,2.258766
9,4000,2.929880
10,64,0.071997
10,128,0.123284
10,256,0.228870
10,512,0.438056
10,768,0.646889
10,1024,0.855545
10,1536,1.270995
10,2048,1.685462
10,3072,2.510807
10,4000,3.257962
11,64,0.080301
11,128,0.136328
11,256,0.252278
11,512,0.483001
11,768,0.713181
11,1024,0.942682
11,1536,1.400016
11,2048,1.856042
11,3072,2.764106
11,4000,3.585703
12,64,0.087814
12,128,0.150628
12,256,0.275971
12,512,0.528327
12,768,0.779837
12,1024,1.030591
12,1536,1.529507
12,2048,2.028236
12,3072,3.017951
12,4000,3.912563
13,64,0.095861
13,128,0.162590
13,256,0.299901
13,512,0.573960
13,768,0.846607
13,1024,1.118330
13,1536,1.660040
13,2048,2.198564
13,3072,3.271565
13,4000,4.241239
14,64,0.102395
14,128,0.174836
14,256,0.323982
14,512,0.619810
14,768,0.913321
14,1024,1.206269
14,1536,1.789238
14,2048,2.370281
14,3072,3.523670
14,4000,4.567780
15,64,0.111256
15,128,0.188817
15,256,0.348053
15,512,0.664764
15,768,0.981141
15,1024,1.294443
15,1536,1.919193
15,2048,2.540995
15,3072,3.775746
15,4000,4.896246
16,64,0.119131
16,128,0.202859
16,256,0.372048
16,512,0.710203
16,768,1.048394
16,1024,1.382656
16,1536,2.049360
16,2048,2.712075
16,3072,4.030272
16,4000,5.221444
17,64,0.125319
17,128,0.215088
17,256,0.396135
17,512,0.757578
17,768,1.114482
17,1024,1.471856
17,1536,2.178312
17,2048,2.880400
17,3072,4.283180
17,4000,5.552479
18,64,0.136275
18,128,0.229006
18,256,0.420055
18,512,0.802979
18,768,1.182627
18,1024,1.559349
18,1536,2.308288
18,2048,3.053157
18,3072,4.536043
18,4000,5.881515
19,64,0.142321
19,128,0.241733
19,256,0.445325
19,512,0.848687
19,768,1.249383
19,1024,1.649124
19,1536,2.437189
19,2048,3.224705
19,3072,4.789309
19,4000,6.204696
20,64,0.151264
20,128,0.254662
20,256,0.471593
20,512,0.895917
20,768,1.320093
20,1024,1.735791
20,1536,2.569483
20,2048,3.395781
20,3072,5.044146
20,4000,6.532378
21,64,0.159715
21,128,0.269301
21,256,0.497117
21,512,0.944086
21,768,1.386187
21,1024,1.825679
21,1536,2.699696
21,2048,3.565881
21,3072,5.298751
21,4000,6.860146
22,64,0.171090
22,128,0.282832
22,256,0.520402
22,512,0.990273
22,768,1.452702
22,1024,1.911955
22,1536,2.826646
22,2048,3.736685
22,3072,5.549331
22,4000,7.180343
23,64,0.177705
23,128,0.295864
23,256,0.544974
23,512,1.034542
23,768,1.521399
23,1024,2.002388
23,1536,2.960766
23,2048,3.909905
23,3072,5.802199
23,4000,7.509214
24,64,0.183366
24,128,0.308882
24,256,0.571105
24,512,1.084378
24,768,1.591956
24,1024,2.087316
24,1536,3.087863
24,2048,4.078756
24,3072,6.053139
24,4000,7.838973
